Generated by GetData Graph Digitizer 2.26.0.20 on June 05 2015, 17:25
from file 'C:\Users\Dmitry\Google Диск\!Diplom\Emmiter_Temperature.jpg'

Line #1
 2.57645163978528e+002    1.46866998992731e+003
 2.59212958473754e+002    1.47239477275771e+003
 2.61203572692094e+002    1.47601071517387e+003
 2.63828416495106e+002    1.47946339696870e+003
 2.67297527695488e+002    1.48237425139233e+003
 2.71608390870334e+002    1.48414900978310e+003
 2.76686343694281e+002    1.48381536444058e+003

Line #6
 2.86960702893594e+002    1.34446605861155e+003
 2.87047713658680e+002    1.34835568519658e+003
 2.87346134285324e+002    1.35219089157450e+003
 2.87574237407989e+002    1.35608025430398e+003
 2.87802340530653e+002    1.35996961703346e+003
 2.88100761157297e+002    1.36380482341138e+003
 2.88469956637539e+002    1.36769392228531e+003
 2.88697831085394e+002    1.37152926059100e+003
 2.88855388029269e+002    1.37541875524825e+003
 2.89012944973145e+002    1.37930824990551e+003
 2.89664096493734e+002    1.38314279664455e+003
 2.89680561080031e+002    1.38703255515735e+003
 2.90261166421831e+002    1.39086723382417e+003
 2.90912317942419e+002    1.39470178056321e+003
 2.91142250463561e+002    1.39902333868300e+003
 2.91352059601451e+002    1.39859074750937e+003
 2.91933579642489e+002    1.40264152387134e+003
 2.92161911439963e+002    1.40658491102461e+003
 2.92602110448614e+002    1.41058192681834e+003
 2.93253261969202e+002    1.41441647355739e+003
 2.93763321132213e+002    1.41825128415198e+003
 2.94132516612455e+002    1.42214038302591e+003
 2.94501712092698e+002    1.42602948189984e+003
 2.94941453751729e+002    1.42991844884599e+003
 2.96297838385398e+002    1.43369765188350e+003
 2.97231174621142e+002    1.43753167091144e+003
 2.97952872320519e+002    1.44136608572271e+003
 2.98886208556264e+002    1.44520010475065e+003
 3.00594409384638e+002    1.44876255045413e+003
 3.02378873262044e+002    1.45367547482455e+003
 3.04650986171111e+002    1.45712881625825e+003
 3.08330592533811e+002    1.45976915277962e+003
 3.12923411749004e+002    1.46148935903550e+003
 3.18002736621809e+002    1.46147986023572e+003

Line #7
 3.29894169737835e+002    1.35416426723026e+003
 3.29910634324133e+002    1.35805402574307e+003
 3.30209283625586e+002    1.36194325654477e+003
 3.30578479105829e+002    1.36583235541870e+003
 3.30877128407282e+002    1.36972158622041e+003
 3.31246323887525e+002    1.37361068509434e+003
 3.31826929229324e+002    1.37744536376116e+003
 3.32196124709567e+002    1.38133446263509e+003
 3.31930175905899e+002    1.38517072443520e+003
 3.32593904541020e+002    1.39197661448264e+003
 3.33385691069567e+002    1.39570284851855e+003
 3.33613794192232e+002    1.39959221124803e+003
 3.33771351136107e+002    1.40348170590529e+003
 3.34069771762751e+002    1.40731691228320e+003
 3.34368421064204e+002    1.41120614308491e+003
 3.34737387869637e+002    1.41504121753505e+003
 3.35036037171090e+002    1.41893044833675e+003
 3.35475550155312e+002    1.42276539085912e+003
 3.36126701675901e+002    1.42659993759816e+003
 3.36848399375278e+002    1.43043435240943e+003
 3.37499550895867e+002    1.43426889914847e+003
 3.38150702416455e+002    1.43810344588751e+003
 3.38801853937044e+002    1.44193799262656e+003
 3.39523551636421e+002    1.44577240743782e+003
 3.40386341693376e+002    1.44960655839354e+003
 3.41248903075522e+002    1.45338668492547e+003
 3.42111693132478e+002    1.45722083588119e+003
 3.43256439229779e+002    1.46100043470202e+003
 3.44683370042237e+002    1.46477950581175e+003
 3.46533349252618e+002    1.46850376093104e+003
 3.49228510559609e+002    1.47190228637430e+003
 3.52907430897881e+002    1.47438054962430e+003
 3.57355727633350e+002    1.47529065337890e+003
 3.62289386652383e+002    1.47420092995888e+003
 3.67367796825950e+002    1.47397533346394e+003

Line #8
 3.77770556930903e+002    1.34829407492574e+003
 3.77716475338411e+002    1.35218396536632e+003
 3.77944578461076e+002    1.35607332809580e+003
 3.78172681583740e+002    1.35996269082528e+003
 3.78259692348827e+002    1.36385231741031e+003
 3.78487795471491e+002    1.36774168013979e+003
 3.78786444772945e+002    1.37163091094150e+003
 3.79014547895609e+002    1.37552027367098e+003
 3.78889691449519e+002    1.37935627161554e+003
 3.79555249483118e+002    1.38659435705329e+003
 3.80335602271181e+002    1.38761936989975e+003
 3.80488128369243e+002    1.39032032723365e+003
 3.80787006345506e+002    1.39426358245915e+003
 3.80944563289382e+002    1.39815307711640e+003
 3.81525397305991e+002    1.40204178020701e+003
 3.81756244526372e+002    1.40657943602196e+003
 3.82970850778033e+002    1.41019682964364e+003
 3.83199411250317e+002    1.41419424122070e+003
 3.83498289226580e+002    1.41813749644620e+003
 3.83867484706822e+002    1.42202659532013e+003
 3.83954495471909e+002    1.42591622190516e+003
 3.84887831707653e+002    1.42975024093310e+003
 3.85398119545474e+002    1.43363907595148e+003
 3.85978724887273e+002    1.43747375461830e+003
 3.86700422586651e+002    1.44130816942956e+003
 3.87563212643606e+002    1.44514232038528e+003
 3.88496548879350e+002    1.44897633941322e+003
 3.89570748797863e+002    1.45275607016183e+003
 3.90856587252743e+002    1.45653540512711e+003
 3.92283289390390e+002    1.46026045181305e+003
 3.94062951096793e+002    1.46403886328391e+003
 3.96617477395825e+002    1.46754570143029e+003
 4.00155076701709e+002    1.46997020411206e+003
 4.04813182575067e+002    1.47044771669302e+003
 4.09535203057734e+002    1.46935838905633e+003
 4.13899919150262e+002    1.46718923258273e+003
 4.18123085535593e+002    1.46491229111711e+003
 4.22418398823380e+002    1.46301338869023e+003

Line #9
 4.34695606343351e+002    1.31350366528340e+003
 4.34923709466016e+002    1.31739302801288e+003
 4.35081266409891e+002    1.32128252267014e+003
 4.35097730996189e+002    1.32517228118294e+003
 4.35113966907677e+002    1.32900801527196e+003
 4.35200520323144e+002    1.33278959300941e+003
 4.35145981381033e+002    1.33657143460241e+003
 4.35867221730791e+002    1.34029780056610e+003
 4.36659236934148e+002    1.34407805902581e+003
 4.36957886235601e+002    1.34796728982751e+003
 4.37115443179477e+002    1.35185678448477e+003
 4.37343546302141e+002    1.35574614721425e+003
 4.38081937262626e+002    1.36352434496211e+003
 4.37712741782384e+002    1.35963524608818e+003
 4.38820099548301e+002    1.37124851828618e+003
 4.38450904068059e+002    1.36735941941225e+003
 4.39118748849755e+002    1.37513774908788e+003
 4.39346851972419e+002    1.37902711181736e+003
 4.39715818777852e+002    1.38286218626751e+003
 4.40366970298440e+002    1.38669673300655e+003
 4.41300992558614e+002    1.39069282530586e+003
 4.41538242673666e+002    1.39674316498690e+003
 4.41756741454323e+002    1.39836350191724e+003
 4.41836891975119e+002    1.40063239578860e+003
 4.42629135853286e+002    1.40446667867209e+003
 4.44072531252041e+002    1.41213550829463e+003
 4.43421379731452e+002    1.40830096155559e+003
 4.44723682772629e+002    1.41597005503367e+003
 4.45445380472007e+002    1.41980446984494e+003
 4.46449034211730e+002    1.42358433252132e+003
 4.47664326487821e+002    1.42736379941437e+003
 4.49020939796299e+002    1.43119702687567e+003
 4.50870919006681e+002    1.43492128199496e+003
 4.53635711793222e+002    1.43810357781529e+003
 4.57665762301770e+002    1.44020301045989e+003
 4.62466332581565e+002    1.44100440572804e+003
 4.67472367177865e+002    1.44034674577056e+003
 4.71063362051811e+002    1.43871928474038e+003
 4.71767223116033e+002    1.43833979449611e+003
 4.75145436079564e+002    1.43644260713030e+003
 4.79085731725310e+002    1.43400412010441e+003
 4.82318278835069e+002    1.43102670811837e+003
 4.85412477684967e+002    1.42869785307336e+003
 4.85975475066420e+002    1.42837265110842e+003
 4.88574249941127e+002    1.42566654859131e+003
 4.93006310765109e+002    1.42274091825689e+003
 4.92443542058465e+002    1.42312014464561e+003
 4.96167854346459e+002    1.41965558935105e+003
 4.99471176309817e+002    1.41673206986103e+003
 5.02703723419577e+002    1.41375465787500e+003
 5.05865724350547e+002    1.41077737781674e+003
 5.09169274988715e+002    1.40790788275051e+003
 5.12897246073665e+002    1.40530771823657e+003
 5.16696220687023e+002    1.40281547064244e+003
 5.20852042340900e+002    1.40129500303764e+003
